Name,DOB,,Party,,,State Code,Active,Occupation,Us Start date,District
"McCain, John",1970-04-19,M,Republican,1234534584,mcc@gail.co,04,1,,1970-04-19,00
"McSally, Martha",1970-04-20,F,Republican,1234534585,mcs@gail.co,04,1,,1970-04-20,02
"Sinema, Kyrsten",1970-04-21,F,Democratic,1234534586,sin@gail.co,04,1,,1970-04-21,09
"O'Halleran, Tom",1970-04-22,M,Democratic,1234534587,o'h@gail.co,04,1,,1970-04-22,01
"Schweikert, David",1970-04-23,M,Republican,1234534588,sch@gail.co,04,1,,1970-04-23,06
"Flake, Jeff",1970-04-24,M,Republican,1234534589,fla@gail.co,04,1,,1970-04-24,00
"Biggs, Andy",1970-04-25,M,Republican,1234534590,big@gail.co,04,1,,1970-04-25,05
"Crawford, Eric A.",1970-04-26,,Republican,1234534591,cra@gail.co,05,1,,1970-04-26,01
"Hill, J. French",1961-05-20,M,Republican,1234534592,hil@gmail.com,05,1,Programmer,1961-05-20,02
"Boozman, John",1961-05-21,M,Republican,1234534593,boo@gmail.com,05,1,Plumber,1961-05-21,00
"Cotton, Tom",1961-05-22,M,Republican,1234534594,cot@gmail.com,05,1,Vet,1961-05-22,00
"Womack, Steve",1961-05-23,M,Republican,1234534595,wom@gmail.com,05,1,Lyft,1961-05-23,03
"Westerman, Bruce",1961-05-24,,Republican,1234534596,wes@gail.co,05,1,,1961-05-24,04
"Lowenthal, Alan S.",1961-05-25,,Democratic,1234534597,low@gail.co,06,1,,1961-05-25,47
"Speier, Jackie",1961-05-26,,Democratic,1234534598,spe@gail.co,06,1,,1961-05-26,14
"Hahn, Janice",1961-05-27,,Democratic,1234534599,hah@gail.co,06,1,,1961-05-27,44
"Lieu, Ted",1961-05-28,,Democratic,1234534600,lie@gail.co,06,1,,1961-05-28,33
"Lofgren, Zoe",1961-05-29,,Democratic,1234534601,lof@gail.co,06,1,,1961-05-29,19
"Peters, Scott H.",1961-05-30,,Democratic,1234534602,pet@gail.co,06,1,,1961-05-30,52
"Brownley, Julia",1961-05-31,F,Democratic,1234534603,bro@gail.co,06,1,Bartender,1961-05-31,26
"Ruiz, Raul",1961-06-01,,Democratic,1234534604,rui@gail.co,06,1,,1961-06-01,36
"Chu, Judy",1961-06-02,,Democratic,1234534605,chu@gail.co,06,1,,1961-06-02,27
"Walters, Mimi",1961-06-03,,Republican,1234534606,wal@gail.co,06,1,,1961-06-03,45
"Khanna, Ro",1961-06-04,,Democratic,1234534607,kha@gail.co,06,1,,1961-06-04,17
"Lee, Barbara",1961-06-05,,Democratic,1234534608,lee@gail.co,06,1,,1961-06-05,13
"Thompson, Mike",1961-06-06,,Democratic,1234534609,tho@gail.co,06,1,,1961-06-06,05
"Becerra, Xavier",1961-06-07,,Democratic,1234534610,bec@gail.co,06,1,,1961-06-07,34
"McCarthy, Kevin",1961-06-08,,Republican,1234534611,mcc@gail.co,06,1,,1961-06-08,23
"McNerney, Jerry",1961-06-09,,Democratic,1234534612,mcn@gail.co,06,1,,1961-06-09,09
"Hunter, Duncan D.",1961-06-10,,Republican,1234534613,hun@gail.co,06,1,,1961-06-10,50
"Bass, Karen",1961-06-11,,Democratic,1234534614,bas@gail.co,06,1,,1961-06-11,37
"Eshoo, Anna G.",1961-06-12,,Democratic,1234534615,esh@gail.co,06,1,,1961-06-12,18
"Valadao, David G.",1961-06-13,,Republican,1234534616,val@gail.co,06,1,,1961-06-13,21
"Aguilar, Pete",1961-06-14,,Democratic,1234534617,agu@gail.co,06,1,,1961-06-14,31
"Calvert, Ken",1961-06-15,,Republican,1234534618,cal@gail.co,06,1,,1961-06-15,42
"Sanchez, Linda T.",1961-06-16,,Democratic,1234534619,san@gail.co,06,1,,1961-06-16,38
"Harris, Kamala",1961-06-17,,Democratic,1234534620,har@gail.co,06,1,,1961-06-17,00
"Roybal-Allard, Lucille",1961-06-18,,Democratic,1234534621,roy@gail.co,06,1,,1961-06-18,40
"McClintock, Tom",1961-06-19,,Republican,1234534622,mcc@gail.co,06,1,,1961-06-19,04
"Davis, Susan A.",1961-06-20,,Democratic,1234534623,dav@gail.co,06,1,,1961-06-20,53
"Rohrabacher, Dana",1961-06-21,,Republican,1234534624,roh@gail.co,06,1,,1961-06-21,48
"Matsui, Doris O.",1961-06-22,,Democratic,1234534625,mat@gail.co,06,1,,1961-06-22,06
"Garamendi, John",1961-06-23,,Democratic,1234534626,gar@gail.co,06,1,,1961-06-23,03
"Cardenas, Tony",1961-06-24,,Democratic,1234534627,car@gail.co,06,1,,1961-06-24,29
"Nunes, Devin",1961-06-25,,Republican,1234534628,nun@gail.co,06,1,,1961-06-25,22
"LaMalfa, Doug",1961-06-26,,Republican,1234534629,lam@gail.co,06,1,,1961-06-26,01
"Napolitano, Grace F.",1961-06-27,,Democratic,1234534630,nap@gail.co,06,1,,1961-06-27,32
"Swalwell, Eric",1961-06-28,,Democratic,1234534631,swa@gail.co,06,1,,1961-06-28,15
"Schiff, Adam B.",1961-06-29,,Democratic,1234534632,sch@gail.co,06,1,,1961-06-29,28
"Waters, Maxine",1961-06-30,,Democratic,1234534633,wat@gail.co,06,1,,1961-06-30,43
"Feinstein, Dianne",1961-07-01,,Democratic,1234534634,fei@gail.co,06,1,,1961-07-01,00
"Knight, Stephen",1961-07-02,,Republican,1234534635,kni@gail.co,06,1,,1961-07-02,25
"Cook, Paul",1961-07-03,,Republican,1234534636,coo@gail.co,06,1,,1961-07-03,08
"Sherman, Brad",1961-07-04,,Democratic,1234534637,she@gail.co,06,1,,1961-07-04,30
"Takano, Mark",1961-07-05,,Democratic,1234534638,tak@gail.co,06,1,,1961-07-05,41
"Costa, Jim",1961-07-06,,Democratic,1234534639,cos@gail.co,06,1,,1961-07-06,16
"Vargas, Juan",1961-07-07,,Democratic,1234534640,var@gail.co,06,1,,1961-07-07,51
"Denham, Jeff",1961-07-08,,Republican,1234534641,den@gail.co,06,1,,1961-07-08,10
"Royce, Edward R.",1961-07-09,,Republican,1234534642,roy@gail.co,06,1,,1961-07-09,39
"Carbajal, Salud",1961-07-10,,Democratic,1234534643,car@gail.co,06,1,,1961-07-10,24
"Pelosi, Nancy",1961-07-11,,Democratic,1234534644,pel@gail.co,06,1,,1961-07-11,12
"Panetta, Jimmy",1961-07-12,,Democratic,1234534645,pan@gail.co,06,1,,1961-07-12,20
"Correa, Lou",1961-07-13,,Democratic,1234534646,cor@gail.co,06,1,,1961-07-13,46
"Torres, Norma J.",1961-07-14,,Democratic,1234534647,tor@gail.co,06,1,,1961-07-14,35
"DeSaulnier, Mark",1961-07-15,,Democratic,1234534648,des@gail.co,06,1,,1961-07-15,11
"Bera, Ami",1961-07-16,,Democratic,1234534649,ber@gail.co,06,1,,1961-07-16,07
"Issa, Darrell E.",1961-07-17,,Republican,1234534650,iss@gail.co,06,1,,1961-07-17,49
"Huffman, Jared",1961-07-18,,Democratic,1234534651,huf@gail.co,06,1,,1961-07-18,02
"Perlmutter, Ed",1961-07-19,,Democratic,1234534652,per@gail.co,08,1,,1961-07-19,07
"Gardner, Cory",1961-07-20,,Republican,1234534653,gar@gail.co,08,1,,1961-07-20,00
"Polis, Jared",1961-07-21,,Democratic,1234534654,pol@gail.co,08,1,,1961-07-21,02
"Coffman, Mike",1961-07-22,,Republican,1234534655,cof@gail.co,08,1,,1961-07-22,06
"Buck, Ken",1961-07-23,,Republican,1234534656,buc@gail.co,08,1,,1961-07-23,04
"DeGette, Diana",1961-07-24,,Democratic,1234534657,deg@gail.co,08,1,,1961-07-24,01
"Lamborn, Doug",1961-07-25,,Republican,1234534658,lam@gail.co,08,1,,1961-07-25,05
"Bennet, Michael F.",1961-07-26,,Democratic,1234534659,ben@gail.co,08,1,,1961-07-26,00
"Tipton, Scott  R.",1961-07-27,,Republican,1234534660,tip@gail.co,08,1,,1961-07-27,03
"Larson, John B.",1961-07-28,,Democratic,1234534661,lar@gail.co,09,1,,1961-07-28,01
"Esty, Elizabeth H.",1961-07-29,,Democratic,1234534662,est@gail.co,09,1,,1961-07-29,05
"Courtney, Joe",1961-07-30,,Democratic,1234534663,cou@gail.co,09,1,,1961-07-30,02
"Himes, James A.",1961-07-31,,Democratic,1234534664,him@gail.co,09,1,,1961-07-31,04
"Murphy, Christopher S.",1961-08-01,,Democratic,1234534665,mur@gail.co,09,1,,1961-08-01,00
"DeLauro, Rosa L.",1961-08-02,,Democratic,1234534666,del@gail.co,09,1,,1961-08-02,03
"Blumenthal, Richard",1961-08-03,,Democratic,1234534667,blu@gail.co,09,1,,1961-08-03,00
"Carper, Thomas R.",1961-08-04,,Democratic,1234534668,car@gail.co,10,1,,1961-08-04,00
"Coons, Christopher A.",1961-08-05,,Democratic,1234534669,coo@gail.co,10,1,,1961-08-05,00
"Rochester, Lisa Blunt",1961-08-06,,Democratic,1234534670,roc@gail.co,10,1,,1961-08-06,00
"Norton, Eleanor Holmes",1961-08-07,,Democratic,1234534671,nor@gail.co,11,1,,1961-08-07,00
"Rooney, Thomas J.",1961-08-08,,Republican,1234534672,roo@gail.co,12,1,,1961-08-08,17
"Rutherford, John",1961-08-09,,Republican,1234534673,rut@gail.co,12,1,,1961-08-09,04
"Rubio, Marco",1961-08-10,,Republican,1234534674,rub@gail.co,12,1,,1961-08-10,00
"Soto, Darren",1961-08-11,,Democratic,1234534675,sot@gail.co,12,1,,1961-08-11,09
"Wasserman Schultz, Debbie",1961-08-12,,Democratic,1234534676,was@gail.co,12,1,,1961-08-12,23
"Bilirakis, Gus M.",1961-08-13,,Republican,1234534677,bil@gail.co,12,1,,1961-08-13,12
"Murphy, Stephanie",1961-08-14,,Democratic,1234534678,mur@gail.co,12,1,,1961-08-14,07
"Dunn, Neal",1961-08-15,,Republican,1234534679,dun@gail.co,12,1,,1961-08-15,02
"Ross, Dennis A.",1961-08-16,,Republican,1234534680,ros@gail.co,12,1,,1961-08-16,15
"Gaetz, Matt",1961-08-17,,Republican,1234534681,gae@gail.co,12,1,,1961-08-17,01
"Diaz-Balart, Mario",1961-08-18,,Republican,1234534682,dia@gail.co,12,1,,1961-08-18,25
"Hastings, Alcee L.",1961-08-19,,Democratic,1234534683,has@gail.co,12,1,,1961-08-19,20
"Wilson, Frederica S.",1961-08-20,,Democratic,1234534684,wil@gail.co,12,1,,1961-08-20,24
"Crist, Charlie",1961-08-21,,Democratic,1234534685,cri@gail.co,12,1,,1961-08-21,13
"Castor, Kathy",1961-08-22,,Democratic,1234534686,cas@gail.co,12,1,,1961-08-22,14
"Mast, Brian",1961-08-23,,Republican,1234534687,mas@gail.co,12,1,,1961-08-23,18
"Frankel, Lois",1961-08-24,,Democratic,1234534688,fra@gail.co,12,1,,1961-08-24,22
"Demings, Val",1961-08-25,,Democratic,1234534689,dem@gail.co,12,1,,1961-08-25,10
"Buchanan, Vern",1961-08-26,,Republican,1234534690,buc@gail.co,12,1,,1961-08-26,16
"DeSantis, Ron",1961-08-27,,Republican,1234534691,des@gail.co,12,1,,1961-08-27,06
"Yoho, Ted S.",1961-08-28,,Republican,1234534692,yoh@gail.co,12,1,,1961-08-28,03
"Webster, Daniel",1961-08-29,,Republican,1234534693,web@gail.co,12,1,,1961-08-29,11
"Posey, Bill",1961-08-30,,Republican,1234534694,pos@gail.co,12,1,,1961-08-30,08
"Ros-Lehtinen, Ileana",1961-08-31,,Republican,1234534695,ros@gail.co,12,1,,1961-08-31,27
"Nelson, Bill",1961-09-01,,Democratic,1234534696,nel@gail.co,12,1,,1961-09-01,00
"Frankel, Lois",1961-09-02,,Democratic,1234534697,fra@gail.co,12,1,,1961-09-02,21
"Rooney, Francis",1961-09-03,,Republican,1234534698,roo@gail.co,12,1,,1961-09-03,19
"Lawson, Al",1961-09-04,,Democratic,1234534699,law@gail.co,12,1,,1961-09-04,05
"Curbelo, Carlos",1961-09-05,,Republican,1234534700,cur@gail.co,12,1,,1961-09-05,26
"Collins, Doug",1961-09-06,,Republican,1234534701,col@gail.co,13,1,,1961-09-06,09
"Scott, Austin",1961-09-07,,Republican,1234534702,sco@gail.co,13,1,,1961-09-07,08
"Scott, David",1961-09-08,,Democratic,1234534703,sco@gail.co,13,1,,1961-09-08,13
"Graves, Tom",1961-09-09,,Republican,1234534704,gra@gail.co,13,1,,1961-09-09,14
"Isakson, Johnny",1961-09-10,,Republican,1234534705,isa@gail.co,13,1,,1961-09-10,00
"Perdue, David",1961-09-11,,Republican,1234534706,per@gail.co,13,1,,1961-09-11,00
"Allen, Rick W.",1961-09-12,,Republican,1234534707,all@gail.co,13,1,,1961-09-12,12
"Ferguson, Drew",1961-09-13,,Republican,1234534708,fer@gail.co,13,1,,1961-09-13,03
"Price, Tom",1961-09-14,,Republican,1234534709,pri@gail.co,13,1,,1961-09-14,06
"Hice, Jody B.",1961-09-15,,Republican,1234534710,hic@gail.co,13,1,,1961-09-15,10
"Woodall, Rob",1961-09-16,,Republican,1234534711,woo@gail.co,13,1,,1961-09-16,07
"Loudermilk, Barry",1961-09-17,,Republican,1234534712,lou@gail.co,13,1,,1961-09-17,11
"Carter, Earl L.",1961-09-18,,Republican,1234534713,car@gail.co,13,1,,1961-09-18,01
"Johnson, Henry C. ",1961-09-19,,Democratic,1234534714,joh@gail.co,13,1,,1961-09-19,04
"Bishop, Sanford D.",1961-09-20,,Democratic,1234534715,bis@gail.co,13,1,,1961-09-20,02
"Lewis, John",1961-09-21,,Democratic,1234534716,lew@gail.co,13,1,,1961-09-21,05
"Bordallo, Madeleine Z.",1961-09-22,,Democratic,1234534717,bor@gail.co,66,1,,1961-09-22,00
"Hirono, Mazie K.",1961-09-23,,Democratic,1234534718,hir@gail.co,15,1,,1961-09-23,00
"Gabbard, Tulsi",1961-09-24,,Democratic,1234534719,gab@gail.co,15,1,,1961-09-24,02
"Schatz, Brian",1961-09-25,,Democratic,1234534720,sch@gail.co,15,1,,1961-09-25,00
"Hanabusa, Colleen",1961-09-26,,Democratic,1234534721,han@gail.co,15,1,,1961-09-26,01
"Risch, James E.",1961-09-27,,Republican,1234534722,ris@gail.co,16,1,,1961-09-27,00
"Simpson, Michael K.",1961-09-28,,Republican,1234534723,sim@gail.co,16,1,,1961-09-28,02
"Labrador, Raul R.",1961-09-29,,Republican,1234534724,lab@gail.co,16,1,,1961-09-29,01
"Crapo, Mike",1961-09-30,,Republican,1234534725,cra@gail.co,16,1,,1961-09-30,00
"Quigley, Mike",1961-10-01,,Democratic,1234534726,qui@gail.co,17,1,,1961-10-01,05
"Krishnamoorthi, Raja",1961-10-02,,Democratic,1234534727,kri@gail.co,17,1,,1961-10-02,08
"Davis, Danny K.",1961-10-03,,Democratic,1234534728,dav@gail.co,17,1,,1961-10-03,07
"Gutierrez, Luis V.",1961-10-04,,Democratic,1234534729,gut@gail.co,17,1,,1961-10-04,04
"Foster, Bill",1961-10-05,,Democratic,1234534730,fos@gail.co,17,1,,1961-10-05,11
"Lipinski, Daniel",1961-10-06,,Democratic,1234534731,lip@gail.co,17,1,,1961-10-06,03
"Schakowsky, Janice D.",1961-10-07,,Democratic,1234534732,sch@gail.co,17,1,,1961-10-07,09
"Davis, Rodney",1961-10-08,,Republican,1234534733,dav@gail.co,17,1,,1961-10-08,13
"Rush, Bobby L.",1961-10-09,,Democratic,1234534734,rus@gail.co,17,1,,1961-10-09,01
"Roskam, Peter J.",1961-10-10,,Republican,1234534735,ros@gail.co,17,1,,1961-10-10,06
"Duckworth, Tammy",1961-10-11,,Democratic,1234534736,duc@gail.co,17,1,,1961-10-11,00
"Kelly, Robin L.",1961-10-12,,Democratic,1234534737,kel@gail.co,17,1,,1961-10-12,02
"Bustos, Cheri",1961-10-13,,Democratic,1234534738,bus@gail.co,17,1,,1961-10-13,17
"Kinzinger, Adam",1961-10-14,,Republican,1234534739,kin@gail.co,17,1,,1961-10-14,16
"LaHood, Darin",1961-10-15,,Republican,1234534740,lah@gail.co,17,1,,1961-10-15,18
"Schneider, Brad",1961-10-16,,Democratic,1234534741,sch@gail.co,17,1,,1961-10-16,10
"Hultgren, Randy",1961-10-17,,Republican,1234534742,hul@gail.co,17,1,,1961-10-17,14
"Durbin, Richard",1961-10-18,,Democratic,1234534743,dur@gail.co,17,1,,1961-10-18,00
"Bost, Mike",1961-10-19,,Republican,1234534744,bos@gail.co,17,1,,1961-10-19,12
"Shimkus, John",1961-10-20,,Republican,1234534745,shi@gail.co,17,1,,1961-10-20,15
"Carson, Andre",1961-10-21,,Democratic,1234534746,car@gail.co,18,1,,1961-10-21,07
"Hollingsworth, Trey",1961-10-22,,Republican,1234534747,hol@gail.co,18,1,,1961-10-22,09
"Donnelly, Joe",1961-10-23,,Democratic,1234534748,don@gail.co,18,1,,1961-10-23,00
"Rokita, Todd",1961-10-24,,Republican,1234534749,rok@gail.co,18,1,,1961-10-24,04
"Visclosky, Peter J.",1961-10-25,,Democratic,1234534750,vis@gail.co,18,1,,1961-10-25,01
"Young, Todd",1961-10-26,,Republican,1234534751,you@gail.co,18,1,,1961-10-26,00
"Brooks, Susan W.",1961-10-27,,Republican,1234534752,bro@gail.co,18,1,,1961-10-27,05
"Messer, Luke",1961-10-28,,Republican,1234534753,mes@gail.co,18,1,,1961-10-28,06
"Stutzman, Marlin A.",1961-10-29,,Republican,1234534754,stu@gail.co,18,1,,1961-10-29,03
"Bucshon, Larry",1961-10-30,,Republican,1234534755,buc@gail.co,18,1,,1961-10-30,08
"Walorski, Jackie",1961-10-31,,Republican,1234534756,wal@gail.co,18,1,,1961-10-31,02
"King, Steve",1961-11-01,,Republican,1234534757,kin@gail.co,19,1,,1961-11-01,04
"Young, David",1961-11-02,,Republican,1234534758,you@gail.co,19,1,,1961-11-02,03
"Ernst, Joni",1961-11-03,,Republican,1234534759,ern@gail.co,19,1,,1961-11-03,00
"Blum, Rod",1961-11-04,,Republican,1234534760,blu@gail.co,19,1,,1961-11-04,01
"Grassley, Chuck",1961-11-05,,Republican,1234534761,gra@gail.co,19,1,,1961-11-05,00
"Loebsack, David",1961-11-06,,Democratic,1234534762,loe@gail.co,19,1,,1961-11-06,02
"Yoder, Kevin",1961-11-07,,Republican,1234534763,yod@gail.co,20,1,,1961-11-07,03
"Jenkins, Lynn",1961-11-08,,Republican,1234534764,jen@gail.co,20,1,,1961-11-08,02
"Marshall, Roger",1961-11-09,,Republican,1234534765,mar@gail.co,20,1,,1961-11-09,01
"Roberts, Pat",1961-11-10,,Republican,1234534766,rob@gail.co,20,1,,1961-11-10,00
"Moran, Jerry",1961-11-11,,Republican,1234534767,mor@gail.co,20,1,,1961-11-11,00
"Pompeo, Mike",1961-11-12,,Republican,1234534768,pom@gail.co,20,1,,1961-11-12,04
"Paul, Rand",1961-11-13,,Republican,1234534769,pau@gail.co,21,1,,1961-11-13,00
"Barr, Andy",1961-11-14,,Republican,1234534770,bar@gail.co,21,1,,1961-11-14,06
"McConnell, Mitch",1961-11-15,,Republican,1234534771,mcc@gail.co,21,1,,1961-11-15,00
"Guthrie, Brett",1961-11-16,,Republican,1234534772,gut@gail.co,21,1,,1961-11-16,02
"Massie, Thomas",1961-11-17,,Republican,1234534773,mas@gail.co,21,1,,1961-11-17,04
"Rogers, Harold",1961-11-18,,Republican,1234534774,rog@gail.co,21,1,,1961-11-18,05
"Yarmuth, John A.",1961-11-19,,Democratic,1234534775,yar@gail.co,21,1,,1961-11-19,03
"Comer, James",1961-11-20,,Republican,1234534776,com@gail.co,21,1,,1961-11-20,01
"Fleming, John",1961-11-21,,Republican,1234534777,fle@gail.co,22,1,,1961-11-21,04
"Boustany, Charles W.",1961-11-22,,Republican,1234534778,bou@gail.co,22,1,,1961-11-22,03
"Richmond, Cedric L.",1961-11-23,,Democratic,1234534779,ric@gail.co,22,1,,1961-11-23,02
"Graves, Garret",1961-11-24,,Republican,1234534780,gra@gail.co,22,1,,1961-11-24,06
"Scalise, Steve",1961-11-25,,Republican,1234534781,sca@gail.co,22,1,,1961-11-25,01
"Abraham, Ralph Lee",1961-11-26,,Republican,1234534782,abr@gail.co,22,1,,1961-11-26,05
"Cassidy, Bill",1961-11-27,,Republican,1234534783,cas@gail.co,22,1,,1961-11-27,00
"Vitter, David",1961-11-28,,Republican,1234534784,vit@gail.co,22,1,,1961-11-28,00
"King, Angus S.",1961-11-29,,Independent,1234534785,kin@gail.co,23,1,,1961-11-29,00
"Pingree, Chellie",1961-11-30,,Democratic,1234534786,pin@gail.co,23,1,,1961-11-30,01
"Collins, Susan M.",1961-12-01,,Republican,1234534787,col@gail.co,23,1,,1961-12-01,00
"Poliquin, Bruce",1961-12-02,,Republican,1234534788,pol@gail.co,23,1,,1961-12-02,02
"Brown, Anthony",1961-12-03,,Democratic,1234534789,bro@gail.co,24,1,,1961-12-03,04
"Ruppersberger, C. A. Dutch",1961-12-04,,Democratic,1234534790,rup@gail.co,24,1,,1961-12-04,02
"Cummings, Elijah E.",1961-12-05,,Democratic,1234534791,cum@gail.co,24,1,,1961-12-05,07
"Cardin, Benjamin L.",1961-12-06,,Democratic,1234534792,car@gail.co,24,1,,1961-12-06,00
"Delaney, John K.",1961-12-07,,Democratic,1234534793,del@gail.co,24,1,,1961-12-07,06
"Sarbanes, John P.",1961-12-08,,Democratic,1234534794,sar@gail.co,24,1,,1961-12-08,03
"Harris, Andy",1961-12-09,,Republican,1234534795,har@gail.co,24,1,,1961-12-09,01
"Van Hollen, Chris",1961-12-10,,Democratic,1234534796,van@gail.co,24,1,,1961-12-10,08
"Van Hollen, Chris",1961-12-11,,Democratic,1234534797,van@gail.co,24,1,,1961-12-11,00
"Hoyer, Steny H.",1961-12-12,,Democratic,1234534798,hoy@gail.co,24,1,,1961-12-12,05
"Capuano, Michael E.",1961-12-13,,Democratic,1234534799,cap@gail.co,25,1,,1961-12-13,07
"Clark, Katherine M.",1961-12-14,,Democratic,1234534800,cla@gail.co,25,1,,1961-12-14,05
"Neal, Richard E.",1961-12-15,,Democratic,1234534801,nea@gail.co,25,1,,1961-12-15,01
"Lynch, Stephen F.",1961-12-16,,Democratic,1234534802,lyn@gail.co,25,1,,1961-12-16,08
"Kennedy, Joseph P.",1961-12-17,,Democratic,1234534803,ken@gail.co,25,1,,1961-12-17,04
"McGovern, James P.",1961-12-18,,Democratic,1234534804,mcg@gail.co,25,1,,1961-12-18,02
"Keating, William R.",1961-12-19,,Democratic,1234534805,kea@gail.co,25,1,,1961-12-19,09
"Warren, Elizabeth",1961-12-20,,Democratic,1234534806,war@gail.co,25,1,,1961-12-20,00
"Moulton, Seth",1961-12-21,,Democratic,1234534807,mou@gail.co,25,1,,1961-12-21,06
"Tsongas, Niki",1961-12-22,,Democratic,1234534808,tso@gail.co,25,1,,1961-12-22,03
"Markey, Edward J.",1961-12-23,,Democratic,1234534809,mar@gail.co,25,1,,1961-12-23,00
"Moolenaar, John R.",1961-12-24,,Republican,1234534810,moo@gail.co,26,1,,1961-12-24,04
"Amash, Justin",1961-12-25,,Republican,1234534811,ama@gail.co,26,1,,1961-12-25,03
"Dingell, Debbie",1961-12-26,,Democratic,1234534812,din@gail.co,26,1,,1961-12-26,12
"Walberg, Tim",1961-12-27,,Republican,1234534813,wal@gail.co,26,1,,1961-12-27,07
"Lawrence, Brenda L.",1961-12-28,,Democratic,1234534814,law@gail.co,26,1,,1961-12-28,14
"Upton, Fred",1961-12-29,,Republican,1234534815,upt@gail.co,26,1,,1961-12-29,06
"Bishop, Mike",1961-12-30,,Republican,1234534816,bis@gail.co,26,1,,1961-12-30,08
"Bergman, Jack",1961-12-31,,Republican,1234534817,ber@gail.co,26,1,,1961-12-31,01
"Peters, Gary C.",1962-01-01,,Democratic,1234534818,pet@gail.co,26,1,,1962-01-01,00
"Trott, David A.",1962-01-02,,Republican,1234534819,tro@gail.co,26,1,,1962-01-02,11
"Levin, Sander M.",1962-01-03,,Democratic,1234534820,lev@gail.co,26,1,,1962-01-03,09
"Lewis, Jason",1962-01-04,,Republican,1234534821,lew@gail.co,26,1,,1962-01-04,02
"Conyers, John",1962-01-05,,Democratic,1234534822,con@gail.co,26,1,,1962-01-05,13
"Mitchell, Paul",1962-01-06,,Republican,1234534823,mit@gail.co,26,1,,1962-01-06,10
"Kildee, Daniel T.",1962-01-07,,Democratic,1234534824,kil@gail.co,26,1,,1962-01-07,05
"Stabenow, Debbie",1962-01-08,,Democratic,1234534825,sta@gail.co,26,1,,1962-01-08,00
"Paulsen, Erik",1962-01-09,,Republican,1234534826,pau@gail.co,27,1,,1962-01-09,03
"Walz, Timothy J.",1962-01-10,,Democratic,1234534827,wal@gail.co,27,1,,1962-01-10,01
"Kline, John",1962-01-11,,Republican,1234534828,kli@gail.co,27,1,,1962-01-11,02
"Nolan, Richard M.",1962-01-12,,Democratic,1234534829,nol@gail.co,27,1,,1962-01-12,08
"Klobuchar, Amy",1962-01-13,,Democratic,1234534830,klo@gail.co,27,1,,1962-01-13,00
"Emmer, Tom",1962-01-14,,Republican,1234534831,emm@gail.co,27,1,,1962-01-14,06
"Ellison, Keith",1962-01-15,,Democratic,1234534832,ell@gail.co,27,1,,1962-01-15,05
"Peterson, Collin C.",1962-01-16,,Democratic,1234534833,pet@gail.co,27,1,,1962-01-16,07
"Franken, Al",1962-01-17,,Democratic,1234534834,fra@gail.co,27,1,,1962-01-17,00
"McCollum, Betty",1962-01-18,,Democratic,1234534835,mcc@gail.co,27,1,,1962-01-18,04
"Harper, Gregg",1962-01-19,,Republican,1234534836,har@gail.co,28,1,,1962-01-19,03
"Kelly, Trent",1962-01-20,,Republican,1234534837,kel@gail.co,28,1,,1962-01-20,01
"Palazzo, Steven M.",1962-01-21,,Republican,1234534838,pal@gail.co,28,1,,1962-01-21,04
"Thompson, Bennie G.",1962-01-22,,Democratic,1234534839,tho@gail.co,28,1,,1962-01-22,02
"Nunnelee, Alan",1962-01-23,,Republican,1234534840,nun@gail.co,28,1,,1962-01-23,01
